 Name                               Version         License                                           
 protobuf                           5.29.1          3-Clause BSD License                              
 psutil                             6.0.0           BSD License                                       
 ptyprocess                         0.7.0           ISC License (ISCL)                                
 publication                        0.0.3           MIT License                                       
 pure_eval                          0.2.3           MIT License                                       
 pycparser                          2.22            BSD License                                       
 pytest                             7.4.3           MIT License                                       
 python-dateutil                    2.9.0.post0     Apache Software License; BSD License              
 python-json-logger                 2.0.7           BSD License                                       
 pyzmq                              26.2.0          BSD License                                       
 referencing                        0.35.1          MIT License                                       
 regex                              2024.11.6       Apache Software License                           
 requests                           2.32.3          Apache Software License                           
 rfc3339-validator                  0.1.4           MIT License                                       
 rfc3986-validator                  0.1.1           MIT License                                       
 rpds-py                            0.20.0          MIT License                                       
 s3transfer                         0.10.4          Apache Software License                           
 safetensors                        0.4.5           Apache Software License                           
 six                                1.16.0          MIT License                                       
 sniffio                            1.3.1           Apache Software License; MIT License              
 soupsieve                          2.6             MIT License                                       
 stack-data                         0.6.3           MIT License                                       
 sympy                              1.13.1          BSD License                                       
 terminado                          0.18.1          BSD License                                       
 tinycss2                           1.3.0           BSD License                                       
 tokenizers                         0.21.0          Apache Software License                           
 torch                              2.5.1           BSD License                                       
 tornado                            6.4.1           Apache Software License                           
 tqdm                               4.67.1          MIT License; Mozilla Public License 2.0 (MPL 2.0) 
 traitlets                          5.14.3          BSD License                                       
 transformers                       4.47.0          Apache Software License                           
 typeguard                          2.13.3          MIT License                                       
 types-python-dateutil              2.9.0.20241003  Apache Software License                           
 typing_extensions                  4.12.2          Python Software Foundation License                
 uri-template                       1.3.0           MIT License                                       
 urllib3                            2.2.3           MIT License                                       
 webcolors                          24.8.0          BSD License                                       
 webencodings                       0.5.1           BSD License                                       
 websocket-client                   1.8.0           Apache Software License                           
 yarg                               0.1.9           MIT License                                       
